Repo,File,Line,Type,Description,Status,ReviewerNote
"NessKawl/API_driveparts","src/main.ts",7,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"NessKawl/API_driveparts","src/auth/strategies/local.strategy.ts",11,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField","DEPENDE","Manual audit done"
"GabrielMartinsDoliveira/Residencia_PD_25.2_backend","src/data-source.ts",14,"DB_AUTO_SYNC","Database synchronization enabled (Risk of data loss)","DEPENDE","Manual audit done"
"GabrielMartinsDoliveira/Residencia_PD_25.2_backend","src/app.ts",18,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"qeitiof/securecel","src/app.ts",50,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"CarlosNiz/atividade-faculdade-backend","src/main.ts",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"diname/tech-challenge-fiap","src/main.ts",14,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'","CORRETO","Manual audit done"
"diname/tech-challenge-fiap","src/shared/utils/initializers/cors.initializer.ts",4,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"diname/tech-challenge-fiap","src/infrastructure/typeorm/config/postgres.config.service.ts",21,"DB_AUTO_SYNC","Database synchronization enabled (Risk of data loss)","DEPENDE","Manual audit done"
"diname/tech-challenge-fiap","src/domain/services/auth/auth.service.impl.ts",20,"HARDCODED_SECRET","Potential hardcoded secret in property: tokenUse","INCORRETO","Manual audit done"
"JhonyDomingos/backend-just-connect","src/server.ts",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"JhonyDomingos/backend-just-connect","generated/prisma/internal/prismaNamespaceBrowser.ts",87,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"JhonyDomingos/backend-just-connect","generated/prisma/internal/prismaNamespaceBrowser.ts",96,"HARDCODED_SECRET","Potential hardcoded secret in property: reset_token","INCORRETO","Manual audit done"
"JhonyDomingos/backend-just-connect","generated/prisma/internal/prismaNamespaceBrowser.ts",97,"HARDCODED_SECRET","Potential hardcoded secret in property: reset_token_expiry","INCORRETO","Manual audit done"
"JhonyDomingos/backend-just-connect","generated/prisma/internal/prismaNamespace.ts",1200,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"JhonyDomingos/backend-just-connect","generated/prisma/internal/prismaNamespace.ts",1209,"HARDCODED_SECRET","Potential hardcoded secret in property: reset_token","INCORRETO","Manual audit done"
"JhonyDomingos/backend-just-connect","generated/prisma/internal/prismaNamespace.ts",1210,"HARDCODED_SECRET","Potential hardcoded secret in property: reset_token_expiry","INCORRETO","Manual audit done"
"CyberNicky/customers-api","src/main.ts",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"KayoRonald/euajudo-back-end","src/shared/http/server.ts",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"tpiva/ts-api-me","server/config/env/production.env.ts",6,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"tpiva/ts-api-me","server/config/env/production.env.ts",11,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","INCORRETO","Manual audit done"
"tpiva/ts-api-me","server/config/env/development.env.ts",6,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"tpiva/ts-api-me","server/config/env/development.env.ts",11,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","INCORRETO","Manual audit done"
"joaowinkelmann/finalflow-api","src/main.ts",11,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'","CORRETO","Manual audit done"
"The-Tito/readflow-backend","src/app.ts",18,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/main.ts",46,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'","CORRETO","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/app.module.ts",39,"DB_AUTO_SYNC","Database synchronization enabled (Risk of data loss)","INCORRETO","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/modules/auth/use-cases/register/register.use-case.ts",61,"HARDCODED_SECRET","Potential hardcoded secret in property: tokenType","INCORRETO","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/modules/auth/use-cases/login/login.use-case.ts",63,"HARDCODED_SECRET","Potential hardcoded secret in property: tokenType","INCORRETO","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/modules/auth/dtos/register/register.response.dto.ts",32,"HARDCODED_SECRET","Potential hardcoded secret in property: token","INCORRETO","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/modules/auth/dtos/register/register.response.dto.ts",33,"HARDCODED_SECRET","Potential hardcoded secret in property: tokenType","INCORRETO","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/modules/auth/dtos/login/login.response.dto.ts",40,"HARDCODED_SECRET","Potential hardcoded secret in property: token","INCORRETO","Manual audit done"
"LeoLink-Uniasselvi/leolink-backend","src/modules/auth/dtos/login/login.response.dto.ts",41,"HARDCODED_SECRET","Potential hardcoded secret in property: tokenType","INCORRETO","Manual audit done"
"Matheus-Merlos/Crassus-API","src/main.ts",7,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'","CORRETO","Manual audit done"
"YasArcher/back-economia","src/app.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"Trino11/TFG-Backend-API_REST","src/index.ts",53,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"Trino11/TFG-Backend_Auth-API_REST","src/index.ts",39,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"Tr3sar/connecTFG-frontend","src/environments/environment.ts",7,"HARDCODED_SECRET","Potential hardcoded secret in property: secretKey","INCORRETO","Manual audit done"
