Nome,URL,Stars,Framework,Descricao
Trino11/TFG-Backend-API_REST,https://github.com/Trino11/TFG-Backend-API_REST.git,1,Backend Detectado (express),""
Trino11/TFG-Backend_Auth-API_REST,https://github.com/Trino11/TFG-Backend_Auth-API_REST.git,1,Backend Detectado (express),""
javier-gomariz-prats/PokeCore,https://github.com/javier-gomariz-prats/PokeCore.git,1,Backend Detectado (express),"TFG de Javier Gomariz"
rauumartinez03/TFG-backend,https://github.com/rauumartinez03/TFG-backend.git,1,Backend Detectado (express),""
PabloGonzalezGonzalez/tfg-iaas-backend,https://github.com/PabloGonzalezGonzalez/tfg-iaas-backend.git,1,Backend Detectado (express),"TFG on the development of a backend application for Universidad de La Laguna IaaS (Infrastructure as a Service)"
LucasSeraggi/TFG-Backend,https://github.com/LucasSeraggi/TFG-Backend.git,3,Backend Detectado (express),"Trabalho de Graduação de curso - Backend"
tanafc/tfg-backend,https://github.com/tanafc/tfg-backend.git,1,Backend Detectado (express),"Backend REST API for TFG."
Siname22/TFG_booksGallery-Front-,https://github.com/Siname22/TFG_booksGallery-Front-.git,1,Backend Detectado (express),""
jpicatos/tfg-angular,https://github.com/jpicatos/tfg-angular.git,2,Backend Detectado (express),""
joaoecsde/kademlia_tese,https://github.com/joaoecsde/kademlia_tese.git,1,Backend Detectado (express),""
ronydevdesgn/swcs-backend,https://github.com/ronydevdesgn/swcs-backend.git,2,Backend Detectado (fastify),"Sistema back-end para o controle de sumário de uma universidade especifica  servirá o meu web-app front-end "
nirewen/uni-auto,https://github.com/nirewen/uni-auto.git,5,Backend Detectado (express),"Ferramenta de automação de processos para universidades"
boxy-smd/deck-api,https://github.com/boxy-smd/deck-api.git,1,Backend Detectado (fastify),"🃏 Back-end da aplicação Deck  um repositório de trabalhos realizados por alunos do curso de Sistemas e Mídias Digitais da Universidade Federal do Ceará."
ciriatico/EasySIGAA,https://github.com/ciriatico/EasySIGAA.git,1,Backend Detectado (mongoose),"Aplicativo web para auxílio a estudantes da UnB  com monitor de vagas liberadas. Desenvolvido na disciplina de Sistemas de Informação  na Universidade de Brasília (UnB)  no semestre de 2.2022."
