Repo,URL,File,Line,Type,Description
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/comments.e2e-spec.ts",37,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/comments.e2e-spec.ts",46,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Elian-beep/code-scratch-back","https://github.com/Elian-beep/code-scratch-back.git","src/server.ts",33,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Luco97/stock-gql","https://github.com/Luco97/stock-gql.git","src/main.ts",9,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'"
"guilhermeaugvieira/MarvelBD2","https://github.com/guilhermeaugvieira/MarvelBD2.git","src/Dados/Data-Source.ts",9,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"guilhermeaugvieira/MarvelBD2","https://github.com/guilhermeaugvieira/MarvelBD2.git","src/API/Servidor.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"denisquintasluiz/Fiscalizacao-aluno-ustp","https://github.com/denisquintasluiz/Fiscalizacao-aluno-ustp.git","server/app.ts",45,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"mwenyo/mb-eventos","https://github.com/mwenyo/mb-eventos.git","src/server.ts",117,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"mateusxxlima/fisio-backend","https://github.com/mateusxxlima/fisio-backend.git","src/main.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"mateusxxlima/fisio-backend","https://github.com/mateusxxlima/fisio-backend.git","src/configs/typeorm.config.ts",7,"DB_AUTO_SYNC","Database synchronization enabled (Risk of data loss)"
"mateusxxlima/fisio-backend","https://github.com/mateusxxlima/fisio-backend.git","src/auth/jwt.strategy.ts",11,"HARDCODED_SECRET","Potential hardcoded secret in property: secretOrKey"
"mateusxxlima/fisio-backend","https://github.com/mateusxxlima/fisio-backend.git","src/auth/auth.module.ts",17,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"GustavoSantosCS/command-backend","https://github.com/GustavoSantosCS/command-backend.git","tests/domain/mock/usecases/create-session-usecase-spy.ts",8,"HARDCODED_SECRET","Potential hardcoded secret in property: token"
"Sans-arch/gamehub-backend","https://github.com/Sans-arch/gamehub-backend.git","src/tests/services/userService.ts",94,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Sans-arch/gamehub-backend","https://github.com/Sans-arch/gamehub-backend.git","src/tests/services/userService.ts",109,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Jao-Rocha/onebitflix","https://github.com/Jao-Rocha/onebitflix.git","src/adminjs/locale.ts",50,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Jao-Rocha/onebitflix","https://github.com/Jao-Rocha/onebitflix.git","src/adminjs/authentication.ts",23,"HARDCODED_SECRET","Potential hardcoded secret in property: cookiePassword"
"Jao-Rocha/onebitflix","https://github.com/Jao-Rocha/onebitflix.git","src/database/index.ts",9,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"santialvarez0207/WorldLO","https://github.com/santialvarez0207/WorldLO.git","server/app.ts",17,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/user/memoryUserRepository.ts",15,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/user/memoryUserRepository.ts",31,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/user/memoryUserRepository.ts",47,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/user/memoryUserRepository.ts",63,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/event/memoryEventRepository.ts",32,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/event/memoryEventRepository.ts",68,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/event/memoryEventRepository.ts",104,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",46,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",84,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",120,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",141,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",168,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",209,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
