Repo,File,Line,Type,Description,Status,ReviewerNote
Jao-Rocha/onebitflix,src/adminjs/locale.ts,50.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
Jao-Rocha/onebitflix,src/adminjs/authentication.ts,23.0,HARDCODED_SECRET,Potential hardcoded secret in property: cookiePassword,INCORRETO,Manual audit done
Jao-Rocha/onebitflix,src/database/index.ts,9.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
diname/tech-challenge-fiap,src/domain/services/auth/auth.service.impl.ts,20.0,HARDCODED_SECRET,Potential hardcoded secret in property: tokenUse,INCORRETO,Manual audit done
JhonyDomingos/backend-just-connect,generated/prisma/internal/prismaNamespaceBrowser.ts,87.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
JhonyDomingos/backend-just-connect,generated/prisma/internal/prismaNamespaceBrowser.ts,96.0,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token,INCORRETO,Manual audit done
JhonyDomingos/backend-just-connect,generated/prisma/internal/prismaNamespaceBrowser.ts,97.0,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token_expiry,INCORRETO,Manual audit done
JhonyDomingos/backend-just-connect,generated/prisma/internal/prismaNamespace.ts,1200.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
JhonyDomingos/backend-just-connect,generated/prisma/internal/prismaNamespace.ts,1209.0,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token,INCORRETO,Manual audit done
JhonyDomingos/backend-just-connect,generated/prisma/internal/prismaNamespace.ts,1210.0,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token_expiry,INCORRETO,Manual audit done
tpiva/ts-api-me,server/config/env/production.env.ts,6.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
tpiva/ts-api-me,server/config/env/production.env.ts,11.0,HARDCODED_SECRET,Potential hardcoded secret in property: secret,INCORRETO,Manual audit done
tpiva/ts-api-me,server/config/env/development.env.ts,6.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
tpiva/ts-api-me,server/config/env/development.env.ts,11.0,HARDCODED_SECRET,Potential hardcoded secret in property: secret,INCORRETO,Manual audit done
LeoLink-Uniasselvi/leolink-backend,src/app.module.ts,39.0,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss),INCORRETO,Manual audit done
LeoLink-Uniasselvi/leolink-backend,src/modules/auth/use-cases/register/register.use-case.ts,61.0,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType,INCORRETO,Manual audit done
LeoLink-Uniasselvi/leolink-backend,src/modules/auth/use-cases/login/login.use-case.ts,63.0,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType,INCORRETO,Manual audit done
LeoLink-Uniasselvi/leolink-backend,src/modules/auth/dtos/register/register.response.dto.ts,32.0,HARDCODED_SECRET,Potential hardcoded secret in property: token,INCORRETO,Manual audit done
LeoLink-Uniasselvi/leolink-backend,src/modules/auth/dtos/register/register.response.dto.ts,33.0,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType,INCORRETO,Manual audit done
LeoLink-Uniasselvi/leolink-backend,src/modules/auth/dtos/login/login.response.dto.ts,40.0,HARDCODED_SECRET,Potential hardcoded secret in property: token,INCORRETO,Manual audit done
LeoLink-Uniasselvi/leolink-backend,src/modules/auth/dtos/login/login.response.dto.ts,41.0,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType,INCORRETO,Manual audit done
Tr3sar/connecTFG-frontend,src/environments/environment.ts,7.0,HARDCODED_SECRET,Potential hardcoded secret in property: secretKey,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/user/memoryUserRepository.ts,15.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/user/memoryUserRepository.ts,31.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/user/memoryUserRepository.ts,47.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/user/memoryUserRepository.ts,63.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/event/memoryEventRepository.ts,32.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/event/memoryEventRepository.ts,68.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/event/memoryEventRepository.ts,104.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,46.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,84.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,120.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,141.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
luissimas/pooa-grupos-academicos,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,168.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
