Repo,File,Line,Type,Description,Status,ReviewerNote
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",36,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",37,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",38,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",41,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",42,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"limabarreto/sagarana","server.js",21,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"GuiGuerreiroo/PI_etec_2sem","back/app/server.ts",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"Bernardo1401/Back-end_LogisTech","server.js",17,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"IsaacMyJ93/Call-Inversion-Backend","src/index.js",19,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"mariagvaliente/TFG","app.js",52,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","NAO_SE_APLICA","Manual audit done"
"mariagvaliente/TFG","public/scorm/config_lms.js",2,"DEBUG_MODE_ON","Debug mode enabled in configuration","NAO_SE_APLICA","Manual audit done"
"mariagvaliente/TFG","public/scorm/SCORM_Player.js",15,"DEBUG_MODE_ON","Debug mode enabled in configuration","NAO_SE_APLICA","Manual audit done"
"mariagvaliente/TFG","public/scorm/Local_API_SCORM_12.js",41,"DEBUG_MODE_ON","Debug mode enabled in configuration","NAO_SE_APLICA","Manual audit done"
"mariagvaliente/TFG","public/scorm/Local_API_1484_11.js",42,"DEBUG_MODE_ON","Debug mode enabled in configuration","NAO_SE_APLICA","Manual audit done"
"franxu99/api-github","index.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","INCORRETO","Manual audit done"
"franxu99/api-github","db.js",6,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"DiegoRold/BibliotecaOnline","server.js",32,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"DiegoRold/BibliotecaOnline","scripts/populate_db.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
