Repo,URL,File,Line,Type,Description
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,15,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,31,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,47,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,63,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/event/memoryEventRepository.ts,32,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/event/memoryEventRepository.ts,68,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/event/memoryEventRepository.ts,104,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,46,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,84,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,120,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,141,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,168,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,209,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,245,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,283,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,304,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,320,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,338,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,380,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,401,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,419,HARDCODED_SECRET,Potential hardcoded secret in property: password
Hyagobsantos/Api-LojaStarWars,https://github.com/Hyagobsantos/Api-LojaStarWars.git,src/auth/jwt.constants.ts,2,HARDCODED_SECRET,Potential hardcoded secret in property: secret
NessKawl/API_driveparts,https://github.com/NessKawl/API_driveparts.git,src/main.ts,7,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
