Nome,URL,Stars,Framework,Descricao
vinibalbino/lockifmanager,https://github.com/vinibalbino/lockifmanager.git,1,Backend Detectado (express),"Projeto de Trabalho de Conclusão de curso  Sistema de gerenciamento de uma trava eletrônica. CMS apenas com JS"
luizdebem/revisa-ai-backend,https://github.com/luizdebem/revisa-ai-backend.git,1,Backend Detectado (express),"Trabalho de Conclusão de Curso - Sistemas de Informação UNISUL 2022.2"
luizschon/NovasCartas,https://github.com/luizschon/NovasCartas.git,1,Backend Detectado (mongoose),"Projeto Final da disciplina de Projeto e Análise de Algortimos (PAA - 2022/1) na Universidade de Brasília. Seriam nossos heróis capazes de sobreviverem mais um semestre? Hoje a noite  em Temperatura Máxima!"
sandbox-systms/minilab-computacional,https://github.com/sandbox-systms/minilab-computacional.git,0,Backend Detectado (express),"Projeto academico - Uniasselvi "
withlovesah/feedbackCafeteria,https://github.com/withlovesah/feedbackCafeteria.git,1,Backend Detectado (express),"Projeto acadêmico de aplicação web utilizando Express para criação de servidor HTTP e processamento de dados de um formulário HTML de feedback de uma cafeteria"
fePYHTCSSJS/cursos-online,https://github.com/fePYHTCSSJS/cursos-online.git,1,Backend Detectado (express),"Site de vendas de cursos online desenvolvido com Node.js — Projeto Acadêmico Unoeste"
FISI-2025-II/FisiCollab,https://github.com/FISI-2025-II/FisiCollab.git,1,Backend Detectado (express),"Plataforma web full-stack para compartir recursos académicos de forma colaborativa. Desarrollada con Node.js  Express y MySQL usando arquitectura MVC profesional. Incluye autenticación segura  gestión de recursos y diseño responsive."
franksparks/TFG-FerranBals-ExpedienteUOCVue-API,https://github.com/franksparks/TFG-FerranBals-ExpedienteUOCVue-API.git,1,Backend Detectado (express),"API para la obtención de expedientes académicos de alumnos de la UOC"
davisantanadev/StudioDoCorpo,https://github.com/davisantanadev/StudioDoCorpo.git,1,Backend Detectado (express),"Trabalho prático acadêmico voltado para o desenvolvimento de uma aplicação web para uma academia local"
limabarreto/sagarana,https://github.com/limabarreto/sagarana.git,1,Backend Detectado (express),"O Sagarana é um sistema de acervo universitário — um espaço onde estudantes poderão publicar livros  artigos  resenhas e eventos  criando um acervo colaborativo e acadêmico."
carlosqbarbosa/ZenUp-Backend,https://github.com/carlosqbarbosa/ZenUp-Backend.git,1,Backend Detectado (express),"Projeto acadêmico ZenUp para a faculdade UNIT-PE 25.2"
GuiGuerreiroo/PI_etec_2sem,https://github.com/GuiGuerreiroo/PI_etec_2sem.git,1,Backend Detectado (express),"Sistema de gerenciamento de reservas e estoque acadêmico desenvolvido com HTML  CSS  Bootstrap  JavaScript  TypeScript e MongoDB. Possui controle de acesso para Professores  Técnicos e ADMs."
Bernardo1401/Back-end_LogisTech,https://github.com/Bernardo1401/Back-end_LogisTech.git,1,Backend Detectado (express),"🚚 LogisTech – API de Gestão de Entregas  API para gerenciar usuários  motoristas  administradores  pedidos  entregas e veículos na etapa last-mile. Desenvolvida com Node.js  Express e PostgreSQL  permite integração com painéis administrativos e apps de motoristas. Projeto acadêmico do SENAI."
alan-nardin/CarretaFacil,https://github.com/alan-nardin/CarretaFacil.git,2,Backend Detectado (express),"Localizador de carretas em pátio ** trabalho acadêmico **"
IsaacMyJ93/Call-Inversion-Backend,https://github.com/IsaacMyJ93/Call-Inversion-Backend.git,2,Backend Detectado (express),"Call-Inversion-Backend es el repositorio donde se aloja la logica de la app de nuestro TFG."
AlexColmenar/TFG-AlejandroColmenar,https://github.com/AlexColmenar/TFG-AlejandroColmenar.git,1,Backend Detectado (express),"Proyecto de pagina web hecho para personas con diferentes dificultades  dar ayuda a dichas personas para progresar en el futuro"
dieego17/TFG-AppTaxi-BackEnd,https://github.com/dieego17/TFG-AppTaxi-BackEnd.git,1,Backend Detectado (express),""
daVinciManuel/MathApp,https://github.com/daVinciManuel/MathApp.git,2,Backend Detectado (express),"TFG DAW"
lmarqui1103/SweetRecipes,https://github.com/lmarqui1103/SweetRecipes.git,1,Backend Detectado (express),"Proyecto TFG"
mariagvaliente/TFG,https://github.com/mariagvaliente/TFG.git,3,Backend Detectado (express),"TFG-Plataforma web para gestionar Escape Rooms educativas"
franxu99/api-github,https://github.com/franxu99/api-github.git,1,Backend Detectado (express),"API usando framework de JS (Express) para TFG DAW"
DiegoRold/BibliotecaOnline,https://github.com/DiegoRold/BibliotecaOnline.git,1,Backend Detectado (express),"Tfg DAM  biblioteca online de lectura "
gtcarlos-sage/tfg-hackathon-agroecology,https://github.com/gtcarlos-sage/tfg-hackathon-agroecology.git,1,Backend Detectado (express),"Tech For Good Hackathon - Agroecology"
Cantero94/tfg_expodogs,https://github.com/Cantero94/tfg_expodogs.git,1,Backend Detectado (express),""
alvarosp/2024_PlantillaTFG,https://github.com/alvarosp/2024_PlantillaTFG.git,1,Backend Detectado (express),""
Eloyac/TFG-BACK,https://github.com/Eloyac/TFG-BACK.git,1,Backend Detectado (express),""
miquelbarcelo77/tfg,https://github.com/miquelbarcelo77/tfg.git,1,Backend Detectado (express),""
Leohgb/UpTeses,https://github.com/Leohgb/UpTeses.git,1,Backend Detectado (express),"Sistema de upar Teses feito em Nodejs  Mongodb e utilizando handlebars.  "
edcan-dev/bolsa-de-trabajo-cgtie,https://github.com/edcan-dev/bolsa-de-trabajo-cgtie.git,4,Backend Detectado (express),"This is a school project for the CGTIE department of my university (TESE)  the goal of the system is being a helpull tool for the workers of the department. A Node.js Web App developed using Express framework in Backend  and HTML  CSS and JavaScript in Frontend."
yelabb/teserver,https://github.com/yelabb/teserver.git,8,Backend Detectado (express),"A simple Nodejs (Docker and S3 ready) server for extracting text from pdf  doc  docx  xls  xlsx  csv  pptx  png  jpg  gif  rtf..."
koopero/crazymail,https://github.com/koopero/crazymail.git,1,Backend Detectado (express),"Simple SMTP server designed for automated tesing"
teseve/teseve,https://github.com/teseve/teseve.git,168,Backend Detectado (express),"A simple static webserver  in an app."
Peterlollo/teselagenServer,https://github.com/Peterlollo/teselagenServer.git,1,Backend Detectado (express),"Node/Express server"
MitinPavel/test_express,https://github.com/MitinPavel/test_express.git,1,Backend Detectado (express),"plaing with different tools for node.js/express tesing"
PI-3-grupo001-UNIVESP/univesp-pi,https://github.com/PI-3-grupo001-UNIVESP/univesp-pi.git,1,Backend Detectado (express),"repositório para os códigos usados no Projeto Integrador  da Universidade Virtual do Estado de São Paulo"
luisgbr1el/ru-ufc-bot,https://github.com/luisgbr1el/ru-ufc-bot.git,2,Backend Detectado (express),"Um simples bot para o Telegram que checa o saldo do cartão do Restaurante Universitário da Universidade Federal do Ceará."
Emapic/emapic,https://github.com/Emapic/emapic.git,14,Backend Detectado (express),"Open source repository with the source code of the geolocated surveys engine Emapic  developed by the laboratory CartoLAB of the Universidade da Coruña."
Leocm123/safe-rain,https://github.com/Leocm123/safe-rain.git,1,Backend Detectado (express),"SafeRain é um sistema web interativo desenvolvido como parte do Desafio Profissional da Universidade Cesumar (UNICESUMAR). Ele permite consultar dados meteorológicos em tempo real  com foco na prevenção de enchentes e disseminação de alertas climáticos. A aplicação oferece uma interface simples e informativa  ideal para usuários finais."
